,steel_design_description,YieldStrength,TensileStrength,TotalElongation
21190,06MN40 500000,46.6,60.5,47.78
24553,06MN40 500000,44.6,59.3,28.15
24596,06MN40 500000,44.8,62.3,39.95
24597,06MN40 500000,46.3,60.7,38.35
30,06MN40 550000,51.4,66.6,29.66
34,06MN40 550000,50.8,64.0,32.15
193,06MN40 550000,48.3,65.6,30.73
198,06MN40 550000,54.1,66.0,30.56
1322,06MN40 550000,54.4,66.3,27.49
1326,06MN40 550000,49.6,64.0,30.97
1329,06MN40 550000,54.4,66.2,27.3
1334,06MN40 550000,52.0,64.5,32.52
1337,06MN40 550000,51.1,64.8,28.76
1343,06MN40 550000,53.0,64.4,30.36
1351,06MN40 550000,50.2,62.9,33.09
1356,06MN40 550000,54.7,66.6,29.51
1361,06MN40 550000,54.8,67.3,29.03
1390,06MN40 550000,52.2,62.3,32.92
1666,06MN40 550000,50.1,63.7,30.53
1669,06MN40 550000,52.5,66.0,30.02
3407,06MN40 550000,54.4,66.4,27.86
3415,06MN40 550000,51.3,63.4,32.32
3418,06MN40 550000,50.8,64.2,32.39
3423,06MN40 550000,53.0,64.8,32.38
3427,06MN40 550000,50.6,63.1,34.71
3432,06MN40 550000,54.9,67.3,27.33
3436,06MN40 550000,52.3,64.8,29.77
3454,06MN40 550000,50.2,64.2,30.05
3457,06MN40 550000,51.1,65.3,33.46
3463,06MN40 550000,53.9,67.4,30.42
6855,06MN40 550000,51.2,63.7,26.35
11609,06MN40 550000,54.8,66.0,25.68
11611,06MN40 550000,54.5,65.3,29.79
11613,06MN40 550000,53.3,65.8,28.6
14906,06MN40 550000,53.2,65.5,32.33
14913,06MN40 550000,52.7,64.9,31.03
14917,06MN40 550000,55.0,64.7,32.66
14919,06MN40 550000,53.8,65.4,31.25
14920,06MN40 550000,55.1,66.7,29.7
14922,06MN40 550000,56.1,65.4,29.88
15044,06MN40 550000,56.3,67.4,37.68
15052,06MN40 550000,57.4,69.3,25.73
15208,06MN40 550000,53.8,64.9,31.12
15211,06MN40 550000,50.4,61.7,36.46
15216,06MN40 550000,56.2,67.6,31.17
15221,06MN40 550000,54.4,65.8,34.08
16266,06MN40 550000,53.8,66.4,31.29
16271,06MN40 550000,49.3,65.1,29.43
16452,06MN40 550000,59.0,68.8,17.49
16464,06MN40 550000,49.3,64.5,40.98
16468,06MN40 550000,56.3,67.4,26.47
21188,06MN40 550000,54.7,66.2,36.99
21192,06MN40 550000,51.9,63.0,43.24
21193,06MN40 550000,51.1,63.3,44.63
21199,06MN40 550000,51.4,62.9,43.94
21202,06MN40 550000,50.8,62.6,43.2
21206,06MN40 550000,50.5,62.4,42.41
21208,06MN40 550000,53.0,65.0,36.08
21210,06MN40 550000,53.1,65.0,37.33
21212,06MN40 550000,52.8,64.0,37.39
21214,06MN40 550000,52.5,64.3,37.38
21217,06MN40 550000,52.0,63.2,41.83
21219,06MN40 550000,47.7,62.1,43.21
21221,06MN40 550000,52.0,63.5,36.05
21224,06MN40 550000,49.2,63.8,35.51
21226,06MN40 550000,52.4,64.7,39.64
21228,06MN40 550000,51.5,63.8,35.06
21230,06MN40 550000,51.7,63.9,36.13
21232,06MN40 550000,52.1,63.8,35.81
21235,06MN40 550000,53.3,64.8,36.36
21237,06MN40 550000,52.3,64.3,35.27
21240,06MN40 550000,50.6,63.0,38.4
21243,06MN40 550000,52.5,64.5,36.81
21245,06MN40 550000,53.2,65.0,36.17
21250,06MN40 550000,54.6,66.5,32.3
21253,06MN40 550000,53.2,65.7,31.7
21259,06MN40 550000,53.8,64.3,39.99
21261,06MN40 550000,51.0,62.4,40.9
21267,06MN40 550000,51.4,62.6,39.67
21270,06MN40 550000,53.5,63.4,39.92
21276,06MN40 550000,53.9,65.4,35.93
21279,06MN40 550000,54.3,64.3,32.76
21284,06MN40 550000,53.6,65.1,35.21
21287,06MN40 550000,55.2,66.0,33.75
21293,06MN40 550000,54.2,65.6,31.3
21296,06MN40 550000,55.3,65.7,31.71
21301,06MN40 550000,53.8,67.0,29.37
21304,06MN40 550000,53.4,66.0,31.72
21310,06MN40 550000,52.2,65.7,34.18
21317,06MN40 550000,51.8,66.2,29.54
21321,06MN40 550000,54.3,66.3,31.19
21326,06MN40 550000,48.7,64.7,28.48
21328,06MN40 550000,49.4,62.2,42.43
23459,06MN40 550000,51.4,63.9,32.34
23461,06MN40 550000,52.9,64.0,33.48
23465,06MN40 550000,51.4,64.2,30.97
23468,06MN40 550000,51.5,63.0,31.14
23474,06MN40 550000,53.1,64.0,29.84
23478,06MN40 550000,54.4,66.0,29.29
23485,06MN40 550000,55.5,67.3,29.38
23490,06MN40 550000,52.3,65.1,32.18
24302,06MN40 550000,55.6,69.0,28.58
24305,06MN40 550000,57.7,69.7,27.26
24307,06MN40 550000,57.1,69.3,26.11
24309,06MN40 550000,52.5,67.8,29.98
24503,06MN40 550000,56.7,67.7,35.55
24505,06MN40 550000,53.1,64.6,41.28
24506,06MN40 550000,54.4,66.1,24.75
24516,06MN40 550000,55.9,66.3,30.2
24527,06MN40 550000,55.8,65.9,27.91
24530,06MN40 550000,56.8,67.2,31.23
24531,06MN40 550000,54.6,65.9,31.06
24533,06MN40 550000,52.3,63.4,33.14
24535,06MN40 550000,54.0,65.6,30.34
24540,06MN40 550000,53.9,64.4,29.25
24543,06MN40 550000,52.8,64.7,31.05
24547,06MN40 550000,53.1,63.8,33.05
24572,06MN40 550000,49.1,61.5,32.47
24575,06MN40 550000,51.3,63.8,32.53
24578,06MN40 550000,53.0,64.3,29.77
24580,06MN40 550000,53.6,65.3,30.6
24583,06MN40 550000,54.1,65.6,26.41
24600,06MN40 550000,50.4,63.7,41.8
24604,06MN40 550000,50.2,61.8,39.65
24607,06MN40 550000,52.4,66.6,38.78
24612,06MN40 550000,56.9,69.2,36.11
24616,06MN40 550000,49.7,63.0,36.5
24622,06MN40 550000,51.6,63.4,33.6
24624,06MN40 550000,53.2,64.3,31.88
24630,06MN40 550000,54.9,63.8,31.04
24634,06MN40 550000,51.3,64.9,35.84
24640,06MN40 550000,54.6,66.7,27.02
28688,06MN40 550000,55.2,68.6,27.66
28692,06MN40 550000,56.1,68.1,26.07
28695,06MN40 550000,56.6,67.6,27.56
28699,06MN40 550000,58.2,68.3,29.79
31108,06MN40 550000,53.3,66.7,35.45
31113,06MN40 550000,53.7,66.9,33.45
31117,06MN40 550000,54.4,69.6,31.48
37013,06MN40 550000,51.4,65.7,28.08
39984,06MN40 550000,53.4,64.1,39.85
40017,06MN40 550000,53.8,65.0,32.31
40021,06MN40 550000,54.0,65.3,33.38
40025,06MN40 550000,52.0,65.6,28.13
40029,06MN40 550000,55.5,67.6,29.74
41329,06MN40 550000,57.6,69.0,20.8
41339,06MN40 550000,58.0,68.0,37.8
41345,06MN40 550000,59.0,69.4,38.2
41348,06MN40 550000,55.3,67.1,30.61
41350,06MN40 550000,53.6,67.5,36.43
41356,06MN40 550000,54.6,66.0,32.87
41361,06MN40 550000,53.1,65.1,36.25
41364,06MN40 550000,57.3,67.4,30.49
41369,06MN40 550000,56.6,67.0,24.5
41372,06MN40 550000,55.9,67.8,31.42
41380,06MN40 550000,54.4,66.5,33.3
41390,06MN40 550000,57.3,70.6,29.02
43651,06MN40 550000,54.1,66.3,40.3
43653,06MN40 550000,51.6,65.9,41.29
43656,06MN40 550000,55.3,65.9,41.0
43664,06MN40 550000,54.9,65.1,39.22
43668,06MN40 550000,53.1,63.8,42.01
43672,06MN40 550000,53.1,64.5,41.85
43673,06MN40 550000,52.1,65.8,38.8
43680,06MN40 550000,52.5,64.1,39.53
43685,06MN40 550000,51.5,65.6,34.94
43689,06MN40 550000,51.1,63.7,35.16
43695,06MN40 550000,53.3,65.5,33.58
43698,06MN40 550000,54.5,65.8,33.62
43703,06MN40 550000,54.0,66.4,30.31
43705,06MN40 550000,54.5,66.3,32.86
43708,06MN40 550000,52.0,64.7,31.18
43714,06MN40 550000,52.8,65.6,36.4
43719,06MN40 550000,53.7,66.1,32.12
43723,06MN40 550000,53.3,65.8,30.42
43728,06MN40 550000,54.9,65.0,28.99
43732,06MN40 550000,55.4,67.8,32.72
43738,06MN40 550000,52.0,66.1,31.11
43742,06MN40 550000,51.7,66.1,31.61
43751,06MN40 550000,54.6,66.9,27.92
43787,06MN40 550000,53.8,66.4,31.2
44917,06MN40 550000,55.5,69.0,26.49
44923,06MN40 550000,53.1,67.9,29.22
44933,06MN40 550000,54.4,65.9,30.26
46481,06MN40 550000,51.7,64.9,38.34
46486,06MN40 550000,53.7,64.4,32.73
46490,06MN40 550000,58.8,69.1,27.66
46495,06MN40 550000,55.8,68.9,28.81
46500,06MN40 550000,57.7,69.2,28.58
46506,06MN40 550000,54.2,66.5,33.82
46516,06MN40 550000,52.1,64.3,38.25
46520,06MN40 550000,54.7,66.0,37.49
46574,06MN40 550000,55.9,66.2,33.2
46580,06MN40 550000,55.1,66.5,31.38
46583,06MN40 550000,54.5,64.6,33.06
46591,06MN40 550000,55.2,66.0,30.77
46597,06MN40 550000,55.5,68.3,34.36
46601,06MN40 550000,55.5,67.4,29.23
46607,06MN40 550000,56.7,67.9,29.72
48408,06MN40 550000,54.4,66.7,28.61
48412,06MN40 550000,53.4,66.9,28.67
48417,06MN40 550000,55.9,66.1,41.29
48444,06MN40 550000,53.2,66.4,32.86
48446,06MN40 550000,53.6,66.3,33.77
48466,06MN40 550000,50.1,67.4,34.03
48471,06MN40 550000,54.4,66.4,34.89
48474,06MN40 550000,52.3,64.4,35.97
53148,06MN40 550000,51.3,66.8,39.53
53155,06MN40 550000,52.0,62.9,46.21
53158,06MN40 550000,54.5,65.0,38.22
53165,06MN40 550000,54.5,63.9,42.73
53168,06MN40 550000,53.3,65.0,33.12
53172,06MN40 550000,53.8,67.0,30.77
53178,06MN40 550000,52.0,65.5,32.02
53313,06MN40 550000,53.3,66.6,34.78
55994,06MN40 550000,54.7,65.4,35.41
55997,06MN40 550000,54.8,65.7,37.09
55999,06MN40 550000,52.4,65.1,33.03
56001,06MN40 550000,55.3,66.5,33.52
56004,06MN40 550000,54.8,66.3,34.21
56006,06MN40 550000,54.3,65.4,37.01
56009,06MN40 550000,54.3,65.4,33.76
56010,06MN40 550000,53.6,65.4,30.39
56013,06MN40 550000,54.3,66.4,30.24
56015,06MN40 550000,53.7,65.3,32.03
56017,06MN40 550000,53.4,66.8,24.47
56019,06MN40 550000,52.9,65.0,32.23
56021,06MN40 550000,52.0,64.0,34.03
56023,06MN40 550000,52.4,64.9,31.89
56026,06MN40 550000,53.7,66.1,26.05
56028,06MN40 550000,53.6,66.1,31.16
56031,06MN40 550000,54.0,66.0,34.31
56033,06MN40 550000,53.2,66.2,29.82
56035,06MN40 550000,52.7,66.2,26.84
56037,06MN40 550000,52.1,64.1,35.12
56040,06MN40 550000,55.3,66.6,32.01
56042,06MN40 550000,52.5,64.7,32.57
56045,06MN40 550000,54.8,66.1,36.54
56047,06MN40 550000,48.7,62.8,37.78
56049,06MN40 550000,53.9,65.9,27.84
56051,06MN40 550000,56.0,68.0,31.83
56052,06MN40 550000,56.6,68.5,33.09
56054,06MN40 550000,58.2,69.9,31.93
56056,06MN40 550000,56.9,68.1,25.28
56058,06MN40 550000,56.5,68.0,33.76
56061,06MN40 550000,55.4,66.8,31.73
56063,06MN40 550000,55.5,67.1,19.93
56065,06MN40 550000,57.0,69.3,32.41
56067,06MN40 550000,56.1,68.2,33.38
56070,06MN40 550000,55.1,66.7,32.75
56072,06MN40 550000,53.7,65.4,30.89
56075,06MN40 550000,54.6,65.9,22.93
56077,06MN40 550000,55.2,65.9,33.09
56079,06MN40 550000,54.1,65.6,33.9
56082,06MN40 550000,53.1,65.8,31.31
56084,06MN40 550000,55.7,65.7,35.07
56086,06MN40 550000,53.5,65.9,31.92
56089,06MN40 550000,55.9,67.2,27.44
56091,06MN40 550000,54.2,66.2,37.67
56094,06MN40 550000,52.7,65.3,31.93
56096,06MN40 550000,53.2,65.6,32.2
56098,06MN40 550000,53.8,66.5,34.32
56100,06MN40 550000,52.9,65.7,38.33
56103,06MN40 550000,54.3,65.7,35.24
56109,06MN40 550000,55.7,66.2,36.22
56110,06MN40 550000,54.4,65.7,33.37
56112,06MN40 550000,51.3,64.3,35.99
56114,06MN40 550000,56.1,67.5,33.64
56116,06MN40 550000,54.8,66.7,31.14
56118,06MN40 550000,53.4,65.8,36.97
56122,06MN40 550000,55.9,66.9,33.6
56123,06MN40 550000,53.9,66.6,35.06
56126,06MN40 550000,55.1,66.8,34.48
56128,06MN40 550000,51.8,64.4,40.48
56132,06MN40 550000,56.1,67.6,33.0
56143,06MN40 550000,57.6,67.8,30.43
56149,06MN40 550000,55.7,67.1,34.37
56152,06MN40 550000,53.3,66.2,35.43
56157,06MN40 550000,55.6,68.2,35.0
56161,06MN40 550000,55.3,66.6,38.23
56164,06MN40 550000,51.5,63.4,45.13
56167,06MN40 550000,53.0,64.0,42.84
60600,06MN40 550000,55.4,66.6,31.68
60624,06MN40 550000,57.0,66.0,37.44
60629,06MN40 550000,57.4,68.0,37.03
60630,06MN40 550000,52.4,63.5,38.85
60632,06MN40 550000,54.0,63.0,38.01
60634,06MN40 550000,56.7,65.6,37.67
60635,06MN40 550000,56.5,64.9,40.5
60637,06MN40 550000,57.7,66.2,38.01
60640,06MN40 550000,57.0,66.5,35.32
60643,06MN40 550000,55.0,66.1,30.27
60645,06MN40 550000,54.2,65.9,29.45
60648,06MN40 550000,55.0,65.8,24.69
60651,06MN40 550000,51.9,62.6,36.88
60653,06MN40 550000,51.9,63.4,34.81
60656,06MN40 550000,52.8,64.6,34.27
60658,06MN40 550000,53.5,64.6,35.39
60659,06MN40 550000,54.1,64.7,34.84
60661,06MN40 550000,55.8,65.5,31.83
60664,06MN40 550000,54.7,65.7,34.48
60665,06MN40 550000,54.8,65.0,35.79
60670,06MN40 550000,56.1,66.8,35.49
60676,06MN40 550000,54.5,66.0,29.17
60678,06MN40 550000,56.6,66.0,38.95
60684,06MN40 550000,54.9,65.6,33.0
60687,06MN40 550000,53.9,64.8,38.76
60693,06MN40 550000,54.8,64.7,32.59
60696,06MN40 550000,53.4,64.1,33.94
60701,06MN40 550000,55.3,65.0,33.24
60722,06MN40 550000,54.4,64.6,31.43
60726,06MN40 550000,54.2,64.6,30.34
60728,06MN40 550000,52.9,63.9,32.49
60731,06MN40 550000,55.7,65.7,33.55
60735,06MN40 550000,54.9,66.0,33.27
62734,06MN40 550000,55.4,67.1,36.73
62736,06MN40 550000,56.4,67.8,36.52
62740,06MN40 550000,56.4,67.8,28.72
62762,06MN40 550000,56.7,67.4,29.64
62771,06MN40 550000,55.2,65.7,41.67
62772,06MN40 550000,55.9,66.4,42.56
62773,06MN40 550000,59.9,67.5,40.32
62774,06MN40 550000,58.2,67.3,41.81
62776,06MN40 550000,58.9,68.1,40.23
62781,06MN40 550000,56.5,68.1,37.24
62786,06MN40 550000,56.3,67.8,35.21
62794,06MN40 550000,56.9,67.9,32.37
62797,06MN40 550000,58.8,69.9,28.61
55988,06MN40 550050,53.5,63.9,42.04
55992,06MN40 550050,50.0,62.1,43.38
56135,06MN40 550050,54.5,65.6,42.19
56139,06MN40 550050,56.5,66.2,40.77
56171,06MN40 550050,51.4,62.9,45.59
56174,06MN40 550050,53.8,65.7,43.72
56177,06MN40 550050,57.0,67.7,39.71
56179,06MN40 550050,57.0,66.2,40.23
60617,06MN40 550050,52.1,61.7,39.97
60619,06MN40 550050,54.3,63.8,42.79
60621,06MN40 550050,54.6,64.1,42.61
60703,06MN40 550050,52.2,63.4,50.17
60704,06MN40 550050,52.9,64.5,48.23
60708,06MN40 550050,55.8,65.7,44.07
60710,06MN40 550050,51.7,62.7,42.12
60711,06MN40 550050,46.9,60.6,49.79
60714,06MN40 550050,55.0,65.6,38.54
62764,06MN40 550050,54.8,66.4,43.77
62767,06MN40 550050,53.3,65.3,42.67
62770,06MN40 550050,54.3,64.8,44.9
10851,06MN40 575025 25,51.4,65.2,27.31
10853,06MN40 575025 25,54.0,68.1,23.12
10854,06MN40 575025 25,52.2,68.4,23.58
3444,06MN40 625025,50.2,63.9,33.72
3447,06MN40 625025,47.8,62.7,33.12
3467,06MN40 625025,49.8,63.4,32.24
3469,06MN40 625025,48.5,64.8,30.31
3489,06MN40 625025,51.8,65.0,31.22
8200,06MN40 625025,53.3,65.5,33.27
9322,06MN40 625025,54.1,67.3,30.29
9324,06MN40 625025,55.8,68.4,26.54
9326,06MN40 625025,55.1,68.7,31.02
9332,06MN40 625025,53.4,66.3,31.15
9335,06MN40 625025,53.0,66.2,29.02
9337,06MN40 625025,50.8,66.1,29.15
9404,06MN40 625025,49.4,64.7,31.08
14916,06MN40 625025,54.1,63.6,34.07
14923,06MN40 625025,52.4,63.3,38.63
14924,06MN40 625025,51.0,63.4,41.24
14929,06MN40 625025,51.0,65.1,31.53
14933,06MN40 625025,54.4,67.2,32.24
14934,06MN40 625025,54.2,67.1,32.19
14937,06MN40 625025,56.1,68.0,38.93
14940,06MN40 625025,54.5,68.6,31.54
14941,06MN40 625025,55.2,68.6,28.36
14942,06MN40 625025,52.6,66.5,29.92
14945,06MN40 625025,51.7,65.0,33.51
14948,06MN40 625025,53.3,65.3,31.01
14951,06MN40 625025,53.0,67.1,29.89
14952,06MN40 625025,53.1,66.9,30.02
14958,06MN40 625025,51.0,64.5,30.42
14961,06MN40 625025,52.5,66.6,33.27
14976,06MN40 625025,54.6,67.9,30.12
14979,06MN40 625025,54.1,66.7,29.59
14983,06MN40 625025,54.4,67.2,31.36
14989,06MN40 625025,51.4,65.0,32.26
14991,06MN40 625025,51.8,64.8,31.98
14992,06MN40 625025,53.6,65.6,29.68
14998,06MN40 625025,52.6,65.0,32.28
14999,06MN40 625025,52.1,65.4,29.64
15004,06MN40 625025,52.2,66.3,29.67
15005,06MN40 625025,52.8,65.6,33.68
15006,06MN40 625025,52.5,65.5,31.03
15011,06MN40 625025,53.5,66.0,33.02
15012,06MN40 625025,53.2,65.9,34.23
15013,06MN40 625025,52.8,66.3,32.57
15018,06MN40 625025,52.8,66.5,30.22
15020,06MN40 625025,53.2,66.2,33.34
15024,06MN40 625025,53.7,67.7,33.81
15026,06MN40 625025,52.7,66.0,31.24
15030,06MN40 625025,52.9,66.5,32.95
15032,06MN40 625025,53.4,66.2,33.11
15033,06MN40 625025,55.4,66.9,34.87
15037,06MN40 625025,52.7,66.0,30.89
15047,06MN40 625025,52.0,66.4,30.33
15048,06MN40 625025,55.4,68.0,34.68
15050,06MN40 625025,55.5,68.8,32.16
15055,06MN40 625025,55.0,68.9,31.8
15092,06MN40 625025,52.6,66.8,33.19
15226,06MN40 625025,53.6,65.3,32.89
16428,06MN40 625025,52.7,63.9,31.47
21312,06MN40 625025,53.5,66.2,31.97
21330,06MN40 625025,53.6,67.9,31.69
21333,06MN40 625025,53.9,68.0,28.92
21336,06MN40 625025,52.0,65.8,32.29
21339,06MN40 625025,52.5,65.8,32.56
21343,06MN40 625025,51.5,64.5,32.21
21347,06MN40 625025,53.8,66.6,26.97
21350,06MN40 625025,53.9,67.9,31.23
21352,06MN40 625025,54.6,66.5,32.3
21354,06MN40 625025,53.3,67.9,30.19
21355,06MN40 625025,52.2,65.8,31.5
21358,06MN40 625025,51.2,66.4,28.65
21361,06MN40 625025,53.1,65.6,33.34
21364,06MN40 625025,51.4,64.4,31.83
21368,06MN40 625025,52.0,64.9,32.27
21371,06MN40 625025,51.3,66.0,31.78
21374,06MN40 625025,52.8,65.3,31.61
21376,06MN40 625025,50.8,66.9,30.59
21381,06MN40 625025,53.9,67.3,32.73
21384,06MN40 625025,53.8,67.3,30.48
23482,06MN40 625025,50.2,64.1,30.6
23483,06MN40 625025,51.0,64.7,29.94
23494,06MN40 625025,50.1,63.8,34.35
23497,06MN40 625025,51.3,63.6,34.54
23502,06MN40 625025,50.5,64.3,30.15
23507,06MN40 625025,50.1,64.9,33.2
23510,06MN40 625025,50.1,62.6,33.45
23515,06MN40 625025,50.4,63.2,33.78
23516,06MN40 625025,50.4,63.2,33.78
23517,06MN40 625025,53.5,67.2,27.92
23527,06MN40 625025,50.2,63.0,32.48
23570,06MN40 625025,49.2,64.9,32.22
31137,06MN40 625025,52.1,69.4,27.58
36943,06MN40 625025,51.9,65.5,32.17
36951,06MN40 625025,54.1,67.8,32.23
36953,06MN40 625025,54.4,67.1,29.46
36955,06MN40 625025,54.3,67.6,32.37
36966,06MN40 625025,51.6,65.5,32.32
36968,06MN40 625025,51.4,65.1,32.81
36976,06MN40 625025,50.9,64.6,32.28
36978,06MN40 625025,51.1,65.0,32.92
36980,06MN40 625025,52.7,67.7,26.69
36982,06MN40 625025,52.7,66.5,31.5
36985,06MN40 625025,54.9,69.3,30.03
36988,06MN40 625025,54.3,68.6,31.23
36990,06MN40 625025,53.3,67.1,32.91
36992,06MN40 625025,53.2,66.2,32.1
36995,06MN40 625025,54.2,67.5,32.88
36997,06MN40 625025,54.0,67.8,33.18
37002,06MN40 625025,50.8,63.8,34.35
37003,06MN40 625025,51.7,65.1,33.15
37005,06MN40 625025,49.8,64.4,33.52
37025,06MN40 625025,55.0,69.0,29.2
39990,06MN40 625025,51.5,64.5,35.45
39993,06MN40 625025,52.1,64.8,30.94
39996,06MN40 625025,54.9,65.5,32.45
39997,06MN40 625025,51.2,63.6,36.77
40001,06MN40 625025,51.8,64.8,33.16
40004,06MN40 625025,46.9,59.7,36.13
40012,06MN40 625025,52.0,74.0,29.18
40041,06MN40 625025,53.5,64.7,30.63
40046,06MN40 625025,54.2,65.9,30.0
40069,06MN40 625025,50.6,64.3,33.96
40081,06MN40 625025,49.8,64.7,33.93
42723,06MN40 625025,50.9,65.4,32.71
43677,06MN40 625025,52.8,66.5,32.85
46523,06MN40 625025,49.2,62.9,35.08
46528,06MN40 625025,51.2,64.5,38.01
46531,06MN40 625025,52.9,66.6,29.36
46535,06MN40 625025,51.0,64.9,31.4
46544,06MN40 625025,49.3,62.7,37.41
46548,06MN40 625025,51.0,64.4,31.79
46551,06MN40 625025,54.5,68.5,30.52
46555,06MN40 625025,56.6,70.1,23.93
46558,06MN40 625025,54.4,66.2,28.92
46561,06MN40 625025,52.2,66.6,27.74
46617,06MN40 625025,46.7,64.3,33.65
48450,06MN40 625025,50.3,66.2,32.56
48453,06MN40 625025,55.7,69.4,29.51
48456,06MN40 625025,52.9,67.5,34.77
48459,06MN40 625025,51.2,64.9,32.63
48462,06MN40 625025,54.4,66.3,29.55
48477,06MN40 625025,53.6,65.6,33.16
48479,06MN40 625025,53.0,65.6,30.46
48481,06MN40 625025,52.6,65.9,33.94
48483,06MN40 625025,52.2,66.3,31.5
48485,06MN40 625025,52.9,64.8,31.83
48488,06MN40 625025,53.2,66.1,31.85
48494,06MN40 625025,54.6,67.3,31.95
48495,06MN40 625025,54.6,67.3,32.11
53182,06MN40 625025,48.0,64.5,33.88
53185,06MN40 625025,50.7,65.4,34.61
53187,06MN40 625025,50.6,64.5,33.43
53190,06MN40 625025,50.7,64.0,35.41
53194,06MN40 625025,51.1,64.2,34.06
53197,06MN40 625025,50.4,64.7,29.07
53200,06MN40 625025,49.6,63.8,31.01
53204,06MN40 625025,50.8,65.0,32.97
53207,06MN40 625025,54.4,67.2,24.0
53210,06MN40 625025,53.4,67.8,33.08
53213,06MN40 625025,50.7,63.9,35.54
53216,06MN40 625025,51.4,63.4,36.67
53219,06MN40 625025,51.1,64.7,32.98
53229,06MN40 625025,48.0,62.8,31.57
53236,06MN40 625025,51.3,64.1,32.02
53239,06MN40 625025,49.1,62.4,34.66
53242,06MN40 625025,50.2,64.9,35.42
53244,06MN40 625025,52.1,67.0,31.78
53247,06MN40 625025,54.5,67.2,33.68
53251,06MN40 625025,54.6,67.9,31.25
53254,06MN40 625025,53.5,67.6,37.12
53257,06MN40 625025,53.5,68.0,32.28
53260,06MN40 625025,54.0,69.0,32.2
53263,06MN40 625025,50.8,66.4,33.48
53266,06MN40 625025,51.0,65.4,31.73
53270,06MN40 625025,51.8,66.0,32.25
53273,06MN40 625025,49.4,65.2,33.81
53283,06MN40 625025,51.9,67.0,32.0
53286,06MN40 625025,51.6,65.8,31.1
53289,06MN40 625025,54.5,68.5,30.8
53290,06MN40 625025,52.5,66.1,32.87
53292,06MN40 625025,53.6,67.4,31.43
53295,06MN40 625025,52.4,65.4,27.36
53298,06MN40 625025,49.8,63.1,33.55
53302,06MN40 625025,52.9,66.9,34.62
53305,06MN40 625025,53.3,66.4,33.39
53308,06MN40 625025,50.1,65.2,34.87
53316,06MN40 625025,49.7,64.8,34.6
53334,06MN40 625025,51.0,64.5,29.9
56183,06MN40 625025,53.9,66.6,36.82
56186,06MN40 625025,52.1,67.0,35.24
56189,06MN40 625025,54.0,67.2,30.94
56193,06MN40 625025,51.7,65.4,36.03
56196,06MN40 625025,52.7,65.3,32.96
56199,06MN40 625025,50.0,66.0,37.81
60718,06MN40 625025,52.4,64.2,37.93
60720,06MN40 625025,54.9,65.5,40.13
60787,06MN40 625025,52.8,65.0,34.57
60792,06MN40 625025,51.9,65.1,32.69
62742,06MN40 625025,54.1,66.6,31.54
62744,06MN40 625025,55.7,69.0,26.2
62746,06MN40 625025,53.3,66.3,27.84
62748,06MN40 625025,54.7,67.4,29.5
62750,06MN40 625025,55.0,67.1,28.82
62753,06MN40 625025,56.2,69.2,32.76
62755,06MN40 625025,56.0,69.2,31.82
62758,06MN40 625025,53.2,66.8,26.0
62802,06MN40 625025,52.7,66.2,35.31
62806,06MN40 625025,52.6,64.7,30.74
62808,06MN40 625025,50.2,65.4,31.82
62821,06MN40 625025,54.5,67.0,35.48
62831,06MN40 625025,53.6,68.3,25.65
3441,06MN40 650150,46.8,61.8,32.59
3549,06MN40 650150,45.3,61.9,30.72
3553,06MN40 650150,47.7,63.6,28.96
3562,06MN40 650150,51.1,65.1,30.64
3566,06MN40 650150,51.9,65.3,26.33
3569,06MN40 650150,51.2,65.3,31.03
3573,06MN40 650150,51.5,64.9,29.51
6830,06MN40 650150,50.3,64.4,29.4
6862,06MN40 650150,48.9,63.7,34.49
6866,06MN40 650150,47.6,63.8,30.77
6868,06MN40 650150,49.9,63.4,30.02
6872,06MN40 650150,50.5,65.3,30.12
6876,06MN40 650150,51.0,63.9,28.37
6882,06MN40 650150,49.0,64.6,29.75
6885,06MN40 650150,46.3,62.0,30.59
6889,06MN40 650150,46.8,62.2,28.02
6896,06MN40 650150,47.8,62.9,32.58
6897,06MN40 650150,48.5,63.8,30.96
6899,06MN40 650150,48.4,64.3,28.48
6906,06MN40 650150,48.1,63.2,28.65
6908,06MN40 650150,48.7,63.1,30.27
6909,06MN40 650150,49.1,63.0,30.0
6913,06MN40 650150,47.9,64.0,28.4
6914,06MN40 650150,47.9,63.5,31.97
6915,06MN40 650150,49.4,64.6,29.99
6919,06MN40 650150,46.8,62.2,32.37
6920,06MN40 650150,44.8,62.3,29.81
6925,06MN40 650150,51.9,65.1,30.46
6927,06MN40 650150,47.5,63.9,30.18
6932,06MN40 650150,49.7,64.8,29.46
6933,06MN40 650150,48.1,64.8,29.84
6935,06MN40 650150,51.9,65.8,27.2
6941,06MN40 650150,48.1,64.2,30.31
6944,06MN40 650150,47.1,61.4,30.18
6946,06MN40 650150,45.8,63.4,28.16
9387,06MN40 650150,49.8,62.8,31.24
9391,06MN40 650150,53.6,64.4,30.93
9394,06MN40 650150,52.3,64.4,33.33
9400,06MN40 650150,55.7,66.0,27.59
9408,06MN40 650150,54.7,65.7,28.5
9410,06MN40 650150,54.4,65.7,28.33
9413,06MN40 650150,53.8,64.3,30.18
9418,06MN40 650150,55.4,66.4,30.69
9422,06MN40 650150,52.6,64.8,31.23
9423,06MN40 650150,50.5,63.6,34.45
9433,06MN40 650150,52.1,65.6,25.96
